brand,model,model_year,mileage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,age,mileage_per_year,engine_liters
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021.0,17500.0,Gasoline,382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,False,True,59995.0,4.0,4375.0,2.0
BMW,650 Gran Coupe i xDrive,2015.0,69000.0,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,False,True,25700.0,10.0,6900.0,4.4
Audi,Q5 2.0T Premium Plus,2017.0,81880.0,E85 Flex Fuel,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,8-Speed Automatic,Mythos Black Metallic,Black,False,True,21375.0,8.0,10235.0,2.0
Mercedes-Benz,AMG C 43 Base 4MATIC,2018.0,28800.0,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Silver,Black,False,True,48000.0,7.0,4114.285714285715,3.0
Dodge,Ram 1500 Laramie Mega Cab,2006.0,300183.0,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,False,True,10900.0,19.0,15799.105263157895,5.7
BMW,i3 120Ah w/Range Extender,2020.0,35035.0,Hybrid,120 AH,Automatic,Black,Black,False,False,24998.0,5.0,7007.0,
Kia,Sorento SX,2011.0,171000.0,Gasoline,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,False,True,5999.0,14.0,12214.285714285714,3.5
Lexus,LX 570 Base,2016.0,118700.0,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,False,True,46900.0,9.0,13188.888888888889,5.7
Jeep,New Compass Trailhawk,2017.0,119000.0,Gasoline,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Black,False,True,15900.0,8.0,14875.0,2.4
BMW,340 i,2018.0,44261.0,Gasoline,3.0 Liter Turbo,Automatic,Gray,Black,False,False,33598.0,7.0,6323.0,3.0
Audi,A4 2.0T Premium Plus quattro,2012.0,125575.0,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,False,True,8999.0,13.0,9659.615384615385,2.0
Hyundai,Tucson SE,2007.0,16200.0,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,False,True,8200.0,18.0,900.0,2.7
BMW,Z4 sDrive28i,2014.0,70000.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,False,True,20000.0,11.0,6363.636363636364,2.0
Bentley,Continental GTC Base,2011.0,20200.0,E85 Flex Fuel,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,False,True,79950.0,14.0,1442.857142857143,6.0
Honda,Passport Elite,2023.0,2978.0,Gasoline,3.5 Liter SOHC,Automatic,Lunar Silver Metallic,Gray,False,False,45498.0,2.0,1489.0,3.5
Dodge,Sprinter 2500,2007.0,189719.0,Diesel,3.0L V6 Cylinder Engine Diesel Fuel,5-Speed A/T,White,Gray,False,True,14000.0,18.0,10539.944444444445,3.0
BMW,M850 i xDrive,2019.0,9949.0,Gasoline,4.4 Liter DOHC Twin Turbo,Automatic,Blue,Black,False,False,75798.0,6.0,1658.1666666666667,4.4
Lucid,Air Grand Touring,2022.0,3552.0,,536.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Beige,False,True,119999.0,3.0,1184.0,
Audi,A7 Premium,2012.0,54000.0,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,False,True,36880.0,13.0,4153.846153846154,3.0
Chevrolet,Silverado 1500 Custom Trail Boss,2021.0,51351.0,Gasoline,5.3L V8 16V GDI OHV,Automatic,Black,Jet Black,False,True,43147.0,4.0,12837.75,5.3
MINI,Convertible John Cooper Works,2017.0,24280.0,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,False,True,29000.0,8.0,3035.0,2.0
Toyota,Avalon Touring,2016.0,89148.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,False,True,17500.0,9.0,9905.333333333334,3.5
Porsche,Cayenne Platinum Edition,2017.0,73043.0,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,False,True,30990.0,8.0,9130.375,3.6
Mercedes-Benz,AMG C 63 S,2017.0,60000.0,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,False,True,52500.0,8.0,7500.0,4.0
Honda,CR-V EX-L,2016.0,73549.0,Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,Mountain Air Metallic,Black,False,False,20848.0,9.0,8172.111111111111,2.4
Hummer,H2 Base,2005.0,110900.0,Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,False,True,19500.0,20.0,5545.0,6.0
Porsche,911 Carrera S,2013.0,39000.0,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Black,False,True,73000.0,12.0,3250.0,3.8
Mercedes-Benz,CLA-Class CLA 250,2016.0,120000.0,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,False,True,19800.0,9.0,13333.333333333334,2.0
Chrysler,300 Touring,2009.0,134602.0,Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,False,True,7500.0,16.0,8412.625,3.5
Nissan,Rogue SV,2023.0,1094.0,Gasoline,1.5L I3 12V GDI DOHC Turbo,Automatic CVT,Caspian Blue,Light Gray,False,False,30999.0,2.0,547.0,1.5
Audi,A3 2.0T,2010.0,83500.0,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,False,True,6500.0,15.0,5566.666666666667,2.0
Ford,Mustang GT Premium,2014.0,37060.0,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,False,True,28500.0,11.0,3369.090909090909,5.0
Acura,RL Technology,2010.0,97700.0,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,False,True,10995.0,15.0,6513.333333333333,3.7
Volvo,XC90 Hybrid T8 R-Design,2018.0,40000.0,Plug-In Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Black,Black,False,True,42000.0,7.0,5714.285714285715,2.0
Audi,R8 5.2 V10,2018.0,8940.0,Gasoline,5.2L V10 40V PDI DOHC,7-Speed Automatic with Auto-Shift,Tango Red Metallic,Black,False,False,144900.0,7.0,1277.142857142857,5.2
Mercedes-Benz,GLK-Class GLK 350,2014.0,186000.0,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,False,True,10000.0,11.0,16909.090909090908,3.5
Toyota,C-HR LE,2021.0,13180.0,Gasoline,2.0 Liter,CVT-F,–,–,False,False,23998.0,4.0,3295.0,2.0
Lexus,IS 350 Base,2014.0,104000.0,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,False,True,21000.0,11.0,9454.545454545454,3.5
BMW,X4 M40i,2023.0,8500.0,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,Beige,False,True,67900.0,2.0,4250.0,3.0
BMW,M4 CS,2019.0,19069.0,Gasoline,3.0 Liter DOHC Turbo,Automatic,Alpine White,Anthracite,False,False,69998.0,6.0,3178.1666666666665,3.0
Cadillac,CT5 Premium Luxury,2023.0,6090.0,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,False,True,46900.0,2.0,3045.0,2.0
Lucid,Air Grand Touring,2022.0,4900.0,,536.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Black,False,True,99000.0,3.0,1633.3333333333333,
Audi,A5 2.0T Premium Plus,2019.0,47523.0,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,False,True,31000.0,6.0,7920.5,2.0
Chrysler,300C SRT8,2006.0,43000.0,Gasoline,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Black,False,True,19995.0,19.0,2263.157894736842,6.1
Bentley,Continental GT W12,2017.0,14684.0,Gasoline,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,False,True,130000.0,8.0,1835.5,6.0
BMW,M4 Base,2019.0,57800.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Red,False,True,55999.0,6.0,9633.333333333334,3.0
Toyota,GR Corolla Circuit Edition,2023.0,952.0,Gasoline,300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Gray,False,True,49950.0,2.0,476.0,1.6
Audi,RS 5 2.9T,2019.0,21240.0,Gasoline,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,False,True,59950.0,6.0,3540.0,2.9
Porsche,Cayenne Base,2019.0,59338.0,Gasoline,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,False,True,42499.0,6.0,9889.666666666666,3.0
Lamborghini,Huracan Tecnica Coupe,2023.0,255.0,Gasoline,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro",Automatic,BLU ELEOS,Nero Ade,False,False,359991.0,2.0,127.5,5.2
Maserati,Quattroporte S,2019.0,23230.0,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,False,True,44999.0,6.0,3871.6666666666665,3.0
Jaguar,XF 35t R-Sport,2017.0,48000.0,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,False,True,30000.0,8.0,6000.0,3.0
Lexus,ES 330 Base,2005.0,41059.0,Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Beige,False,True,11100.0,20.0,2052.95,3.3
Land,Rover Discovery Sport SE R-Dynamic,2020.0,21240.0,Gasoline,2.0 Liter,Automatic,White,Black,False,False,37998.0,5.0,4248.0,2.0
Porsche,Cayman GTS,2015.0,11500.0,Gasoline,340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,–,False,True,72000.0,10.0,1150.0,3.4
Genesis,G90 3.3T Premium,2021.0,9950.0,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Blue,False,True,53950.0,4.0,2487.5,3.3
Volkswagen,Golf R 20th Anniversary Edition,2023.0,633.0,Gasoline,315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,False,True,47999.0,2.0,316.5,2.0
Hyundai,Sonata Hybrid Limited,2015.0,66000.0,Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Gray,False,True,15900.0,10.0,6600.0,2.4
Audi,RS 7 4.0T Prestige,2014.0,59715.0,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,False,True,45000.0,11.0,5428.636363636364,4.0
BMW,740 Li,2012.0,85252.0,Gasoline,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,False,True,18500.0,13.0,6557.846153846154,3.0
Mercedes-Benz,GLS 450 Base 4MATIC,2020.0,17900.0,Hybrid,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Black,Black,False,True,80000.0,5.0,3580.0,3.0
BMW,M6 Base,2016.0,25500.0,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,False,True,55000.0,9.0,2833.3333333333335,4.4
Subaru,Forester 2.5 X,2004.0,210703.0,Gasoline,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,M/T,Green,Beige,False,False,2300.0,21.0,10033.47619047619,2.5
Hyundai,Elantra N Base,2023.0,3800.0,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,False,True,34000.0,2.0,1900.0,2.0
Kia,Niro Plug-In Hybrid EX Premium,2022.0,36602.0,Hybrid,1.6L I4 16V GDI DOHC Hybrid,6-Speed Automatic with Auto-Shift,Horizon Blue,Charcoal,False,True,31995.0,3.0,12200.666666666666,1.6
Rivian,R1S Adventure Package,2023.0,2800.0,,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,Green,False,True,92000.0,2.0,1400.0,
Aston,Martin DBS Superleggera,2021.0,2165.0,Gasoline,5.2L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,Black,Black,False,True,279950.0,4.0,541.25,5.2
Mercedes-Benz,SLC 300 Base,2018.0,33000.0,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Red,Black,False,True,29900.0,7.0,4714.285714285715,2.0
BMW,435 Gran Coupe i,2016.0,76009.0,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,False,True,24950.0,9.0,8445.444444444445,3.0
Jeep,Grand Cherokee Summit,2020.0,31349.0,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Granite Crystal Clearcoat Metallic,Black,False,False,39366.0,5.0,6269.8,5.7
Lexus,RC 350 Base,2015.0,48000.0,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Orange,Red,False,True,32900.0,10.0,4800.0,3.5
BMW,525 i,2005.0,91420.0,Gasoline,215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,False,True,8900.0,20.0,4571.0,2.5
Toyota,Corolla LE,2003.0,124756.0,Gasoline,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,M/T,Beige,Beige,False,True,4995.0,22.0,5670.727272727273,1.8
Cadillac,CT5-V Blackwing,2023.0,2415.0,Gasoline,6.2L V8 16V GDI OHV Supercharged,10-Speed Automatic,Rift Metallic,Gray,False,False,104900.0,2.0,1207.5,6.2
GMC,Acadia SLT-1,2012.0,116226.0,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,False,True,7900.0,13.0,8940.461538461539,3.6
Lexus,LC 500 Base,2020.0,37869.0,Gasoline,5.0L V8 32V PDI DOHC,10-Speed Automatic,Atomic Silver,Rioja Red,False,False,75950.0,5.0,7573.8,5.0
BMW,i8 Base,2019.0,41500.0,Plug-In Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,White,Black,False,True,86000.0,6.0,6916.666666666667,1.5
Lexus,ES 300h Base,2013.0,87001.0,Hybrid,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Gold,Beige,False,True,17995.0,12.0,7250.083333333333,2.5
Cadillac,CT5-V V-Series,2022.0,4451.0,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,Automatic,Summit White,Jet Black,False,True,55655.0,3.0,1483.6666666666667,3.0
BMW,540 i xDrive,2020.0,27158.0,Gasoline,2.0 Liter Turbo,Automatic,Imperial Blue Metallic,Canberra Beige/Black,False,False,39998.0,5.0,5431.6,2.0
Chevrolet,Express 1500 Work Van,2014.0,139804.0,Gasoline,195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,False,True,14500.0,11.0,12709.454545454546,4.3
Jeep,Gladiator Rubicon,2022.0,27300.0,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Black,False,True,47500.0,3.0,9100.0,3.6
BMW,Z4 sDrive28i,2014.0,36812.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,False,True,27000.0,11.0,3346.5454545454545,2.0
Land,Rover LR4 HSE LUX Landmark Edition,2016.0,144000.0,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,False,True,18000.0,9.0,16000.0,3.0
Cadillac,XT4 Sport,2019.0,44500.0,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,White,False,True,28900.0,6.0,7416.666666666667,2.0
BMW,750 750i xDrive,2021.0,10917.0,Gasoline,4.4 Liter Twin Turbo,Automatic,Black,Black,False,False,73998.0,4.0,2729.25,4.4
Bentley,Arnage R,2005.0,8332.0,Gasoline,400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Beige,False,True,47350.0,20.0,416.6,6.75
Lincoln,Aviator Reserve AWD,2020.0,51247.0,Gasoline,3.0 Liter GTDI,Automatic,Magnetic Gray Clearcoat,Roast,False,False,47698.0,5.0,10249.4,3.0
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016.0,69000.0,Gasoline,550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,False,True,36500.0,9.0,7666.666666666667,5.5
RAM,ProMaster 3500 High Roof,2021.0,147834.0,Gasoline,3.6L V6 24V MPFI DOHC,6-Speed Automatic,Bright White Clearcoat,Black,False,True,32662.0,4.0,36958.5,3.6
Ford,Utility Police Interceptor Base,2013.0,105000.0,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Black,False,True,6600.0,12.0,8750.0,3.7
Audi,A5 2.0T Premium,2011.0,92203.0,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Beige,False,True,9995.0,14.0,6585.928571428572,2.0
Nissan,GT-R Premium,2010.0,15600.0,Gasoline,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,False,True,69500.0,15.0,1040.0,3.8
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2018.0,104700.0,Gasoline,V6,Automatic,Fuji White,Ivory / Ebony,False,False,30775.0,7.0,14957.142857142857,
Toyota,Corolla LE,2010.0,72348.0,Gasoline,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,False,True,9995.0,15.0,4823.2,1.8
Rivian,R1S Adventure Package,2023.0,2500.0,,835.0HP Electric Motor Electric Fuel System,A/T,Green,White,False,True,94000.0,2.0,1250.0,
Mercedes-Benz,C-Class C300 4MATIC,2022.0,13177.0,Gasoline,2.0 Liter Turbo,Automatic,White,Silk Beige/Black,False,False,44798.0,3.0,4392.333333333333,2.0
Porsche,Cayenne E-Hybrid S,2016.0,96000.0,Plug-In Hybrid,416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,White,Red,False,True,23000.0,9.0,10666.666666666666,3.0
Chevrolet,Express 1500 Work Van,2011.0,93009.0,E85 Flex Fuel,5.3L V8 16V MPFI OHV Flexible Fuel,4-Speed Automatic,Summit White,Medium Pewter,False,True,22495.0,14.0,6643.5,5.3
INFINITI,Q70h Base,2016.0,52750.0,Hybrid,360.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,White,Black,False,True,28998.0,9.0,5861.111111111111,3.5
Audi,A7 Premium Plus,2020.0,25361.0,Hybrid,3.0 Liter Turbo,Automatic,Typhoon Gray,Black,False,False,49998.0,5.0,5072.2,3.0
Audi,Q7 3.0T Premium Plus,2015.0,98527.0,Gasoline,280.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,False,False,9995.0,10.0,9852.7,3.0
Lucid,Air Pure,2023.0,1300.0,,620.0HP Electric Motor Electric Fuel System,A/T,Black,Gray,False,False,86900.0,2.0,650.0,
Chrysler,Pacifica Touring,2017.0,87305.0,–,–,9-Speed A/T,Silver,Black,False,True,9000.0,8.0,10913.125,
Audi,TTS 2.0T Premium Plus,2012.0,72922.0,Gasoline,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,False,False,25999.0,13.0,5609.384615384615,2.0
BMW,650 Gran Coupe i xDrive,2015.0,41000.0,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,False,True,30000.0,10.0,4100.0,4.4
Subaru,Forester Premium,2021.0,42125.0,Gasoline,2.5L H4 16V GDI DOHC,Automatic CVT,Crystal Black Silica,Black,False,True,27899.0,4.0,10531.25,2.5
Mercedes-Benz,AMG C AMG C 63,2016.0,62000.0,Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,False,True,40000.0,9.0,6888.888888888889,4.0
Land,Rover LR3 HSE,2006.0,153843.0,Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Beige,False,True,9950.0,19.0,8097.0,4.4
BMW,X7 xDrive40i,2019.0,35248.0,Gasoline,3.0 Liter Twin Turbo,Automatic,Arctic Gray Metallic,Black,False,False,53998.0,6.0,5874.666666666667,3.0
Ford,Transit Connect XLT,2015.0,194454.0,Gasoline,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,False,True,9888.0,10.0,19445.4,2.5
Lexus,LX 570 Three-Row,2021.0,21000.0,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,False,True,89999.0,4.0,5250.0,5.7
Porsche,911 Carrera S,2013.0,18494.0,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed M/T,Black,Black,False,False,86900.0,12.0,1541.1666666666667,3.8
Dodge,Ram 2500 Laramie Quad Cab,2006.0,218000.0,Gasoline,330.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Gray,False,True,12990.0,19.0,11473.684210526315,5.7
